Paper Title,title,authors,school/organization_names,author_countries,conference,published_year,forensic_vs_anti
Data Hiding in Journaling File Systems By,"```json
{
    ""title"": ""Data Hiding in Journaling File Systems""
}
```","```json
{
    ""authors"": ""Knut Eckstein, Marko Jahnke""
}
```","```json
{
    ""school_names"": [
        ""NC3A, The Hague, The Netherlands"",
        ""FGAN/FKIE, Wachtberg, Germany""
    ]
}
```","```json
{
    ""author_countries"": [""Netherlands"", ""Germany""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2005""
}
```","```json
{
    ""forensic_type"": ""Anti-Forensic""
}
```"
Design and Implementation of Zeitline: A Forensic Timeline Editor,"```json
{
    ""title"": ""Design and Implementation of Zeitline: A Forensic Timeline Editor""
}
```","```json
{
    ""authors"": ""Florian Buchholz, Courtney Falk""
}
```","```json
{
    ""school_names"": [""Purdue University""]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2005""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Matthew Geiger From the proceedings of,"```json
{
    ""title"": ""Evaluating Commercial Counter-Forensic Tools""
}
```","```json
{
    ""authors"": ""Matthew Geiger""
}
```","```json
{
    ""school_names"": [""Carnegie Mellon University""]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2005""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Preparing for Large-Scale Investigations with Case Domain Modeling,"```json
{
    ""title"": ""Preparing for Large-Scale Investigations with Case Domain Modeling""
}
```","```json
{
    ""authors"": ""Chris Bogen, David Dampier""
}
```","```json
{
    ""school_names"": [
        ""Engineering Research and Development Center, United States Army Corps of Engineers"",
        ""Mississippi State University""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2005""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Reproducibility of Digital Evidence in Forensic Investigations,"```json
{
    ""title"": ""Reproducibility of Digital Evidence in Forensic Investigations""
}
```","```json
{
    ""authors"": ""Lei Pan, Lynn Batten""
}
```","```json
{
    ""school_names"": [
        ""School of Information Technology, Deakin University""
    ]
}
```","```json
{
    ""author_countries"": [""Australia"", ""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2005""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Risk Sensitive Digital Evidence Collection By,"```json
{
    ""title"": ""Risk Sensitive Digital Evidence Collection""
}
```","```json
{
    ""authors"": ""Erin Kenneally, Christopher Brown""
}
```","```json
{
    ""school_names"": [
        ""San Diego Supercomputer Center"",
        ""University of California at San Diego""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2005""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Unification of Digital Evidence from Disparate Sources,"```json
{
    ""title"": ""Unification of Digital Evidence from Disparate Sources""
}
```","```json
{
    ""authors"": ""Philip Turner""
}
```","```json
{
    ""school_names"": [""QinetiQ"", ""Department of Computer Science, University of New Orleans""]
}
```","```json
{
    ""author_countries"": [""USA"", ""UK""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2005""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Automatically Creating Realistic Targets for Digital Forensics Investigation By,"```json
{
    ""title"": ""Automatically Creating Realistic Targets for Digital Forensics Investigation""
}
```","```json
{
    ""authors"": ""Frank Adelstein, Yun Gao, Golden G. Richard III""
}
```","```json
{
    ""school_names"": [""University of New Orleans""]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2005""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
File Hound: A Forensics Tool for First Responders By,"```json
{
    ""title"": ""File Hound: A Forensics Tool for First Responders""
}
```","```json
{
    ""authors"": ""Wm. Blair Gillam, Marc Rogers""
}
```","```json
{
    ""school_names"": [""Purdue University""]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2005""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Network Forensics Analysis with Evidence Graphs By,"```json
{
    ""title"": ""Network Forensics Analysis with Evidence Graphs""
}
```","```json
{
    ""authors"": ""Wei Wang, Thomas Daniels""
}
```","```json
{
    ""school_names"": [""Iowa State University""]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2005""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Scalpel: A Frugal, High Performance File Carver By","```json
{
    ""title"": ""Scalpel: A Frugal, High Performance File Carver""
}
```","```json
{
    ""authors"": ""Golden G. Richard III, Vassil Roussev""
}
```","```json
{
    ""school_names"": [""University of New Orleans""]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2005""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
A behavioral-based forensic investigation approach for analyzing attacks on water plants using GANs,"```json
{
    ""title"": ""A behavioral-based forensic investigation approach for analyzing attacks on water plants using GANs""
}
```","```json
{
    ""authors"": ""Nataliia Neshenko, Elias Bou-Harb, Borko Furht""
}
```","```json
{
    ""school_names"": [
        ""Florida Atlantic University"",
        ""University of Texas at San Antonio""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Full Paper A comparative study of support vector machine and neural networks,"```json
{
    ""title"": ""A comparative study of support vector machine and neural networks for file type identification using n-gram analysis""
}
```","```json
{
    ""authors"": ""Joachim Sester, Darren Hayes, Mark Scanlon, Nhien-An Le-Khac""
}
```","```json
{
    ""school_names"": [
        ""Bundesministrium des Inneren (BMI), NRW, Germany"",
        ""Pace University, New York, NY, USA"",
        ""University College Dublin"",
        ""Carnegie Mellon University""
    ]
}
```","```json
{
    ""author_countries"": [""Germany"", ""USA"", ""Ireland""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""forensic_type"": ""Digital Forensic""
}
```"
A comparative study on data protection legislations and government standards to implement Digital Forensic Readiness as mandatoryrequirement,"```json
{
    ""title"": ""A comparative study on data protection legislations and government standards to implement Digital Forensic Readiness as mandatory requirement""
}
```","```json
{
    ""authors"": ""Sungmi Park, Nikolay Akatyev, Yunsik Jang, Jisoo Hwang, Donghyun Kim, Woonseon Yu, Hyunwoo Shin, Changhee Han, Jonghyun Kim""
}
```","```json
{
    ""school_names"": [
        ""Hallym University"",
        ""Horangi Cyber Security"",
        ""Korea IT Research Institute"",
        ""DOUZONE Forensic Center""
    ]
}
```","```json
{
    ""author_countries"": [""South Korea""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2018""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
A complete formalized knowledge representation model for advanced digital forensics timeline analysis,"```json
{
    ""title"": ""A complete formalized knowledge representation model for advanced digital forensics timeline analysis""
}
```","```json
{
    ""authors"": ""Yoan Chabot, Aurelien Bertaux, Christophe Nicolle, M-Tahar Kechadi""
}
```","```json
{
    ""school_names"": [
        ""Laboratoire Le2i, UMR CNRS 6306, Université de Bourgogne"",
        ""University College Dublin""
    ]
}
```","```json
{
    ""author_countries"": [""France"", ""Ireland""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2014""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"A contemporary investigation of NTFS ﬁle fragmentation Vincent van der Meera,*,b,d, Hugo Jonkerb,c, Jeroen van den Bosd","```json
{
    ""title"": ""A contemporary investigation of NTFS ﬁle fragmentation""
}
```","```json
{
    ""authors"": ""Vincent van der Meer, Hugo Jonker, Jeroen van den Bos""
}
```","```json
{
    ""school_names"": [
        ""Zuyd University of Applied Sciences"",
        ""Open University of the Netherlands"",
        ""Radboud University Nijmegen"",
        ""Netherlands Forensic Institute""
    ]
}
```","```json
{
    ""author_countries"": [""Netherlands""]
}
```","```json
{
    ""conference"": ""DFRWS APAC""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
A correlation method for establishing provenance of timestamps in digital evidence,"```json
{
    ""title"": ""A correlation method for establishing provenance of timestamps in digital evidence""
}
```","```json
{
    ""authors"": ""Bradley Schatz, George Mohay, Andrew Clark""
}
```","```json
{
    ""school_names"": [
        ""Information Security Institute, Queensland University of Technology""
    ]
}
```","```json
{
    ""author_countries"": [""Australia""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2006""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
A cyber forensics ontology: Creating a new approach to studying cyber forensics,"```json
{
    ""title"": ""A cyber forensics ontology: Creating a new approach to studying cyber forensics""
}
```","```json
{
    ""authors"": ""Ashley Brinson, Abigail Robinson, Marcus Rogers""
}
```","```json
{
    ""school_names"": [""Purdue University""]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2006""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"A forensic analysis of micromobility solutions Jan-Niclas Hilgert*, Martin Lambertz, Alina Hakoupian, Anna-Mariya Mateyna","```json
{
    ""title"": ""A forensic analysis of micromobility solutions""
}
```","```json
{
    ""authors"": ""Jan-Niclas Hilgert, Martin Lambertz, Alina Hakoupian, Anna-Mariya Mateyna""
}
```","```json
{
    ""school_names"": [""Fraunhofer FKIE""]
}
```","```json
{
    ""author_countries"": [""Germany""]
}
```","```json
{
    ""conference"": ""DFRWS APAC""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
A forensic analysis of rclone andrclone 's prospects for digital forensic investigations of cloud storage,"```json
{
    ""title"": ""A forensic analysis of rclone and rclone 's prospects for digital forensic investigations of cloud storage""
}
```","```json
{
    ""authors"": ""Frank Breitinger, Xiaolu Zhang, Darren Quick""
}
```","```json
{
    ""school_names"": [
        "" University of Lausanne"",
        ""University of Texas at San Antonio"",
        ""South Australia Police""
    ]
}
```","```json
{
    ""author_countries"": [""Switzerland"", ""USA"", ""Australia""]
}
```","```json
{
    ""conference"": ""DFRWS APAC""
}
```","```json
{
    ""year"": ""2022""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
A forensically robust method for acquisition of iCloud data Kurt Oestreicher*,"```json
{
    ""title"": ""A forensically robust method for acquisition of iCloud data""
}
```","```json
{
    ""authors"": ""Kurt Oestreicher""
}
```","```json
{
    ""school_names"": [""Champlain College""]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2014""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"A framework for attack patterns’ discovery in honeynet data Olivier Thonnarda,*, Marc Dacierb","```json
{
    ""title"": ""A framework for attack patterns’ discovery in honeynet data""
}
```","```json
{
    ""authors"": ""Olivier Thonnard, Marc Dacier""
}
```","```json
{
    ""school_names"": [
        ""Royal Military Academy, Polytechnic Faculty, Brussels, Belgium"",
        ""Institut Eurecom, Sophia Antipolis, France""
    ]
}
```","```json
{
    ""author_countries"": [""Belgium"", ""France""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2008""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"A general strategy for differential forensic analysis Simson Gar ﬁnkela,, Alex J. Nelsonb, Joel Younga","```json
{
    ""title"": ""A general strategy for differential forensic analysis""
}
```","```json
{
    ""authors"": ""Simson L. Garfinkel, Alex J. Nelson, Joel Young""
}
```","```json
{
    ""school_names"": [
        ""Naval Postgraduate School"",
        ""University of California, Santa Cruz""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2012""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Full Paper A generalized approach to automotive forensics,"```json
{
    ""title"": ""A generalized approach to automotive forensics""
}
```","```json
{
    ""authors"": ""Kevin Klaus Gomez Buquerin, Christopher Corbett, Hans-Joachim Hof""
}
```","```json
{
    ""school_names"": [
        ""Technical University Ingolstadt"",
        ""University of Ulm"",
        ""CARISSMA Institute of Electric, Connected, and Secure Mobility (C-ECOS)""
    ]
}
```","```json
{
    ""author_countries"": [""Germany""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
A likelihood ratio approach for the evaluation of single point device locations,"```json
{
    ""title"": ""A likelihood ratio approach for the evaluation of single point device locations""
}
```","```json
{
    ""authors"": ""Hannes Spichiger""
}
```","```json
{
    ""school_names"": [
        ""Hochschule Luzern Informatik"",
        ""University of Lausanne""
    ]
}
```","```json
{
    ""author_countries"": [""Switzerland""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2023""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"A live digital forensics approach for quantum mechanical computers Dayton Closser*, Elias Bou-Harb","```json
{
    ""title"": ""A live digital forensics approach for quantum mechanical computers""
}
```","```json
{
    ""authors"": ""Dayton Closser, Elias Bou-Harb""
}
```","```json
{
    ""school_names"": [
        ""University of Texas at San Antonio"",
        ""King's College"",
        ""University of California, Berkeley""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2022""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
A method and a case study for the selection of the best available tool for mobile device forensics using decisionanalysis,"```json
{
    ""title"": ""A method and a case study for the selection of the best available tool for mobile device forensics using decisionanalysis""
}
```","```json
{
    ""authors"": ""Shahzad Saleem, Oliver Popov, Ibrahim Baggili""
}
```","```json
{
    ""school_names"": [
        ""National University of Science and Technology"",
        ""Stockholm University"",
        ""University of New Haven""
    ]
}
```","```json
{
    ""author_countries"": [""Pakistan"", ""Sweden"", ""USA""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2016""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"LenaL.Voigta,*,FelixFreilinga,Christopher Hargreavesb aDepartment ofComputer Science, Friedrich-Alexander-Universit atErlangen-Nürnberg (FAU), Erlangen, Germany","```json
{
    ""title"": ""A metrics-based look at disk images: Insights and applications""
}
```","```json
{
    ""authors"": ""Lena L. Voigt, Felix C. Freiling, Christopher Hargreaves""
}
```","```json
{
    ""school_names"": [
        ""Friedrich-Alexander-University Erlangen-Nuremberg"",
        ""University of Oxford""
    ]
}
```","```json
{
    ""author_countries"": [""Germany"", ""UK""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2025""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
A novel adversarial example detection method for malicious PDFs using multiple mutated classi ﬁers,"```json
{
    ""title"": ""A novel adversarial example detection method for malicious PDFs using multiple mutated classi ﬁers""
}
```","```json
{
    ""authors"": ""Chao Liu, Chenzhe Lou, Min Yu, S.M. Yiu, K.P. Chow, Gang Li, Jianguo Jiang, Weiqing Huang""
}
```","```json
{
    ""school_names"": [
        ""Institute of Information Engineering, Chinese Academy of Sciences"",
        ""School of Cyber Security, University of Chinese Academy of Sciences"",
        ""The University of Hong Kong"",
        ""School of Information Technology, Deakin University""
    ]
}
```","```json
{
    ""author_countries"": [""China"", ""Hong Kong"", ""Australia""]
}
```","```json
{
    ""conference"": ""DFRWS APAC""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
A novel approach of mining write-prints for authorship attribution in e-mail forensics,"```json
{
    ""title"": ""A novel approach of mining write-prints for authorship attribution in e-mail forensics""
}
```","```json
{
    ""authors"": ""Farkhund Iqbal, Rachid Hadjidj, Benjamin C.M. Fung, Mourad Debbabi""
}
```","```json
{
    ""school_names"": [
        ""Concordia University""
    ]
}
```","```json
{
    ""author_countries"": [""Canada""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2008""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"A novel time-memory trade-off method for password recovery Vrizlynn L.L. Thing *, Hwei-Ming Ying","```json
{
    ""title"": ""A novel time-memory trade-off method for password recovery""
}
```","```json
{
    ""authors"": ""Vrizlynn L.L. Thing, Hwei-Ming Ying""
}
```","```json
{
    ""school_names"": [
        ""Institute for Infocomm Research""
    ]
}
```","```json
{
    ""author_countries"": [""Singapore""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2009""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"A Practitioner Survey Exploring the Value of Forensic Tools, AI, Filtering, &Safer Presentation for Investigating Child Sexual Abuse","```json
{
    ""title"": ""A Practitioner Survey Exploring the Value of Forensic Tools, AI, Filtering, &Safer Presentation for Investigating Child Sexual Abuse""
}
```","```json
{
    ""authors"": ""Laura Sanchez, Cinthya Grajeda, Ibrahim Baggili, Cory Hall""
}
```","```json
{
    ""school_names"": [
        ""University of New Haven"",
        ""The MITRE Corporation""
      ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2019""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
